"-116","HeroBuild","Bought very little regen to lane top. Buy only the Ring  of Protection and delay finishing the Basilius, get additional tangoes or/and a salve"
"056","Execution","Can go for an additional Quill Spray hit on PL (lots of stacks)"
"102","Mechanics","Missed deny"
"109","Mechanics","Missed lasthit (stood too far, am can deny)"
"113","Mechanics","Missed lasthit (went for deny hit, weaver missed)"
"113","Decision","Missed good opportunity for sidepull (the hard camp). PL isn’t contesting, lane is pushed"
"119","Execution","Drew tower aggro, didn’t shift it off after (dont rightclick the AM immediately, walk close first. Deny click a creep to drop aggro)"
"141","Decision ","Stayed to fight at tower – sidepull the hard camp"
"151","Mechanics","Missed deny"
"153","Decision","Went for lasthit in the tower – took a lot of damage. (and even got denied)"
"156","Mechanics","Missed lasthit (overestimated damage)"
"209","Mechanics","Missed deny (overestimated damage)"
"241","Mechanics","Missed deny (didnt try, writing chat?)"
"251","Mechanics","Took unnecessary tower damage (underestimated range, tried to harass)"
"417","HeroBuild","Prioritised upgrading boots. Should instead get Ring of Health early, no regen left over"
"507","Mechanics","Missed deny(backed unnecessarily)"
"538","Decision","Pushing the lane – should instead try to deny and pull it back"
"553","Decision","Playing dangerously aggressive – would die if AM blinks in"
"624","Efficiency","Healing at fountain on Strength tread – switch to Agi."
"645","Efficiency","Unnecessary TP to lane (save the gold, Weaver can keep the lane solo, )"
"736","Mechanics","Unnecessary tower damage"
"759","Decision","Dangerous going forward – could die to lance+ AM blink in (didn’t check PL to see he has no mana)"
"912","Information","Important! Bad Camera movement! Miss pathing of enemies, lets PL escape"
"940","Mechanics","Walk back close to the AM – risking harassment, losing mana"
"955","Decision","Stayed in lane without mana, low HP, no regen – just back to base."
"1054","Execution","Pushing with Ring of Basilius turned off – turn on to make creeps more tanky"
"1109","Execution","Important! Didn’t drop tower aggro, leads to death"
"1301","Decision","Missed opportunity to by TP at sideshop"
"1324","Mechanics","Missed lasthit (quill spray early, "
"1334","Execution","Pushing with Ring of Basilius turned off"
"1340","Information","Bad camera placement – cant see your pudge, who is walking in"
"1342","Execution","Backing from pudge  - too far to follow up for dark seer"
"1348","Execution","Important! Bad pathing – keep running forward while Ogre is focused. Should immediately turn and run."
"1352","Execution","Suboptimal pathing – juke into the trees instead of walking out"
"1442","Decision ","Important! Slow movement by walking to secret shop – TP to any lane, either buy vanguard at sideshop or send courier to mid. Top = Bot > Mid > Walking"
"1442","Decision","Missed opportunity to by TP at base"
