048,Mechanics,Missed deny,hit too early,,,
052,Mechanics,Missed deny,stood too far,,,
101,Mechanics,Missed deny,stood too far,,,
112,Mechanics,Missed lasthit,didnt prehit / didn’t use Dagge,,,
115,Mechanics,Missed lasthit,didnt prehit / didn’t use Dagger,,,
139,Mechanics,Missed lasthit,backed too far,,,
157,Efficiency,Unnecessary Dagger for lasthit,can rightclick,,,
159,Decision,Missed lasthit,"Backed to dodge Blood Rite – take the damage for the lasthit, botle is coming, full HP.",,,
213,Mechanics,Missed lasthit,Didn’t use Dagger,,,
240,Mechanics,Missed deny,didn’t try,,,
244,Mechanics,Missed lasthit,hit early,,,
303,Mechanics,Missed lasthit,ran away from creep,,,
305,Mechanics,Missed lasthit,Didn’t use Dagger,,,
308,Mechanics,Missed lasthit,spent time on harass,,,
308,Mechanics,Missed deny,stood too far,,,
318,Mechanics,Missed deny,Didn’t contest,,,
325,Mechanics,Missed deny,stood too far,,,
332,Mechanics,Missed lasthit,Wasted dagger for harass,,,
334,Mechanics,Missed deny,Backed unnecessarily,,,
341,Mechanics,Missed lasthit,Wasted dagger for harass/ didnt prehit,,,
421,Mechanics,Missed lasthit,bad prehit,,,
441,Mechanics,Missed lasthit,hit too early,,,
500,Mechanics,Missed lasthit,stood too far,,,
508,Mechanics,Missed deny,stood too far,,,
515,HeroBuild,"Bought full Ring of Aquila – instead get Basilius, Boots, TP!",,,,
546,Mechanics,Missed lasthit,Hit late (faced away from creep),,,
554,Decision,Walked to top rune unnecessarily,"Bloodseeker is already at the rune, no way to take it (no stun)","Lost exp for 3 melee creeps, 2 lasthits",,
615,Efficiency,Inefficient pathing - Walked around in midlane ,Instead go for bottom rune immediately,Lose the rune to Bloodseeker because of the delay!,,
638,Efficiency,Missed stack!,"Wave is far pushed out, could stack the hardcamp",,,
742,Decision,Didn’t use courier,"Leaves boots in base for a long time, get a TP vs Bloodseeker",Want to get the boots to take the 8min rune,,
749,Mechanics,Missed lasthit,Dagger too early,,,
750,Execution,Missed lasthit,Didnt use Blink strike to reach the creepwave,,,
757,Mechanics,Missed lasthit,switched target late,,,
759,Mechanics,Missed lasthit,didnt use dagger,,,
915,Execution,"Cancelled second attack from Blink Strike, would kill the Bloodseeker before using Magick Stick",Would be able to use next Dagger for next kill,,,
1001,Efficiency,Didnt use abilities to speed up farming,"Losing creeps on the lane, want to be fast",,,
1010,Efficiency,Didnt use Phase Boots to move to next camp,,,,
1013,Efficiency,"Suboptimal pathing, walk below the tree to be able to Blink to the camp",,,,
1046,Mechanics,Missed lasthit,hit early/overestimated damage,,,
1056,Decision,Missed opportunity to buy TP,,,,
1123,Execution,Ran deeper into the tower,"Keep hitting Doom instead, hope for Omniknight to save","Take damage from Rupture for walking, further away from allies",,
1208,Efficiency,"Delay after respawn, stood in base for 15 seconds","Buy items while you are dead, so you can move out immediately",,,
1245,Execution,"Turned back into the fight too late, lost 3 seconds of attack time",Should reengage when Treant enter the fight,Would probably kill Bane then,Should use Blink Strike earlier to save time spent walking,
1256,Execution,Should bottle,,,,
1312,Execution,Should bottle,,,,
1313,Mechanics,Use Phase Boots to move faster,,,,
1341,Efficiency,Didnt use dagger to farm camp,,,,
1356 ,Decision,Farm smallcamp while Axe is fighting,Could probably kill Terrorblade as well,,,
1425,Information,Didnt check the fight at top lane – might want to TP in to help,,,,
1442,Mechanics,Missed lasthit,hit early/overestimated damage,,,
1446,Efficiency,Could use dagger to kill catapult faster,,,,
1500,Efficiency,Blocked the hardcamp ,Hit alt/mapped key to see the spawnbox!,,,
1503,Efficiency,Use Phase Boots to move faster,,,,
1506,Mechanics,Missed lasthit,Slow on using Dagger,,,
1507,Decision,Dangerous position to farm,"Bane is missing, could be here. Would die to Bane + Bloodseeker",,,
1559,Mechanics,Missed lasthit,Walked around too much,,,
1604,Decision,Walk into dangerous position to farm the jungle,"Can die to Bane+1, still missing!","Either stay farm safe camps, or group with the team.",,
1612,Decision,Stay after Terrorblade goes invisible,"He was low HP, sunder!",,,
1703,Efficiency,Took too long to buy items while dead – move out of base 11 seconds late,,,,
1719,Efficiency,Didn’t use dagger to farm faster,,,,
1721,Mechanics,Missed lasthit,Hit wrong creep/didnt factor in turn rate for dagger,,,
1724,Mechanics,Missed lasthit,Hit wrong creep/didnt factor in turn rate for dagger,,,
1734,Information,Bad camera placement/ didnt watch fight while walking,,,,
1800,Efficiency,Didnt use dagger to get lasthit,,,,
1808,Execution,"Backed after Blink Strike – Can be aggressive, strong enough.",,,,
1815,Execution,Backing too much after killing Bloodseeker,"In a versy strong position, go in.",,,
1905,Efficiency,Didn’t use dagger to farm faster,"Important! Have to leave early to kill bane, left over creep blocks the camp at 20:00",,,
2045,Decision,Didnt chase Doom with Blink Strike,"Should go! Far stronger than enemies, 4 heroes here.",,,
2134,Execution,Run into wrong direction,"Want to get out of the fight, escape towards treant",,,
2148,Execution,Bad Dust – missclick?,,,,
2210,Efficiency,Can swap in Bottle to regenerate faster,,,,
2220,Efficiency,Can use Dagger earlier to farm,,,,
